INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 153
INFO:data:Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                     size                     
   	      	-------------------------------------------------------------------------	----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg   	gen	max	min	nevals	std   
0  	1023  	0.369057	0  	0.548109	0.203415	1023  	0.0493756	3.9042	0  	7  	2  	1023  	1.4068
INFO:gp:1  	776   	0.413763	1  	0.589453	0.242682	776   	0.0478071	4.06452	1  	10 	2  	776   	1.50909
INFO:gp:2  	747   	0.442712	2  	0.589453	0.256073	747   	0.0521863	4.30596	2  	13 	2  	747   	1.60925
INFO:gp:3  	740   	0.470117	3  	0.615101	0.255035	740   	0.0601678	4.61095	3  	12 	2  	740   	1.56986
INFO:gp:4  	763   	0.489633	4  	0.617658	0.28013 	763   	0.0656339	5.0176 	4  	11 	2  	763   	1.61544
INFO:gp:5  	769   	0.522626	5  	0.654897	0.297221	769   	0.0662052	5.63734	5  	11 	3  	769   	1.78909
INFO:gp:6  	753   	0.548787	6  	0.654897	0.299352	753   	0.0686437	6.30108	6  	13 	3  	753   	1.73889
INFO:gp:7  	756   	0.562949	7  	0.656272	0.298154	756   	0.0739176	6.41935	7  	12 	3  	756   	1.61406
INFO:gp:8  	792   	0.577165	8  	0.667148	0.286274	792   	0.0720804	6.23558	8  	12 	3  	792   	1.69763
INFO:gp:9  	757   	0.586901	9  	0.681808	0.290474	757   	0.0742472	6.3998 	9  	14 	3  	757   	1.83095
INFO:gp:10 	762   	0.594531	10 	0.687859	0.300878	762   	0.0806506	6.26882	10 	13 	3  	762   	1.79852
INFO:gp:11 	788   	0.609016	11 	0.688598	0.302279	788   	0.0743298	6.32747	11 	13 	3  	788   	1.59952
INFO:gp:12 	786   	0.624714	12 	0.696278	0.302279	786   	0.0665245	6.81036	12 	14 	3  	786   	1.70481
INFO:gp:13 	756   	0.629545	13 	0.701576	0.315278	756   	0.072296 	7.77517	13 	14 	3  	756   	1.80482
INFO:gp:14 	778   	0.636977	14 	0.70815 	0.360651	778   	0.0702262	8.77028	14 	16 	3  	778   	1.94675
INFO:gp:15 	751   	0.640416	15 	0.724525	0.329188	751   	0.0732369	9.2522 	15 	18 	3  	751   	2.22773
INFO:gp:16 	773   	0.644096	16 	0.724525	0.307214	773   	0.0745203	9.34213	16 	19 	3  	773   	2.38893
INFO:gp:17 	793   	0.647556	17 	0.724526	0.32387 	793   	0.0770244	8.91984	17 	22 	3  	793   	2.30547
INFO:gp:18 	793   	0.660514	18 	0.724526	0.293184	793   	0.0750637	8.70674	18 	22 	3  	793   	2.04017
INFO:gp:19 	792   	0.660574	19 	0.72453 	0.315814	792   	0.081972 	8.53372	19 	22 	3  	792   	1.78748
INFO:gp:20 	774   	0.661124	20 	0.72453 	0.344774	774   	0.0818168	8.71359	20 	17 	3  	774   	1.83404
INFO:gp:21 	775   	0.66651 	21 	0.724847	0.320297	775   	0.0826672	9.24145	21 	16 	3  	775   	2.14192
INFO:gp:22 	772   	0.668661	22 	0.724847	0.31087 	772   	0.0799235	10.2151	22 	18 	3  	772   	2.04989
INFO:gp:23 	804   	0.663712	23 	0.724847	0.29172 	804   	0.083108 	10.4956	23 	18 	3  	804   	2.08559
INFO:gp:24 	749   	0.669026	24 	0.724847	0.312771	749   	0.0820505	10.609 	24 	20 	3  	749   	2.42091
INFO:gp:25 	781   	0.671466	25 	0.724882	0.345482	781   	0.0783882	10.5327	25 	21 	3  	781   	2.885  
INFO:gp:26 	768   	0.669235	26 	0.724882	0.304108	768   	0.079676 	10.1173	26 	22 	3  	768   	3.44825
INFO:gp:27 	780   	0.668342	27 	0.724884	0.34238 	780   	0.0799761	8.6696 	27 	22 	3  	780   	3.13812
INFO:gp:28 	787   	0.670114	28 	0.749356	0.315909	787   	0.0739992	8.38514	28 	22 	3  	787   	2.81947
INFO:gp:29 	784   	0.669531	29 	0.749392	0.320427	784   	0.0771381	8.77713	29 	22 	3  	784   	2.96133
INFO:gp:30 	777   	0.670468	30 	0.749392	0.329876	777   	0.0772264	9.98827	30 	22 	3  	777   	2.82633
INFO:gp:31 	775   	0.674316	31 	0.751172	0.294217	775   	0.0779958	10.652 	31 	22 	3  	775   	2.76625
INFO:gp:32 	786   	0.676358	32 	0.754435	0.294217	786   	0.0893425	10.2581	32 	30 	3  	786   	3.17706
INFO:gp:33 	778   	0.68332 	33 	0.771187	0.209627	778   	0.10157  	9.05474	33 	27 	5  	778   	2.75258
INFO:gp:34 	766   	0.691177	34 	0.771187	0.273209	766   	0.101342 	8.61779	34 	20 	4  	766   	2.30677
INFO:gp:35 	792   	0.695038	35 	0.771187	0.300217	792   	0.0992451	8.89443	35 	23 	4  	792   	2.4833 
INFO:gp:36 	764   	0.706044	36 	0.771205	0.255244	764   	0.0956662	9.13001	36 	20 	3  	764   	2.52915
INFO:gp:37 	757   	0.704883	37 	0.771205	0.269736	757   	0.104366 	9.09873	37 	17 	3  	757   	2.20216
INFO:gp:38 	772   	0.706691	38 	0.771205	0.300908	772   	0.10308  	9.11144	38 	20 	4  	772   	2.1346 
INFO:gp:39 	777   	0.705556	39 	0.771205	0.300807	777   	0.106767 	8.94819	39 	19 	4  	777   	2.22319
INFO:gp:40 	802   	0.699425	40 	0.771249	0.300604	802   	0.110663 	9.02346	40 	21 	4  	802   	2.37399
INFO:gp:41 	758   	0.696699	41 	0.771249	0.241752	758   	0.117878 	9.59335	41 	19 	3  	758   	2.56315
INFO:gp:42 	794   	0.694571	42 	0.771267	0.261243	794   	0.115472 	10.7449	42 	21 	5  	794   	2.73002
INFO:gp:43 	793   	0.694018	43 	0.771267	0.290552	793   	0.120485 	11.6794	43 	24 	3  	793   	2.95731
INFO:gp:44 	755   	0.693513	44 	0.771397	0.273548	755   	0.124322 	12.8387	44 	25 	4  	755   	3.12878
INFO:gp:45 	784   	0.695612	45 	0.771397	0.151738	784   	0.118777 	13.6794	45 	24 	7  	784   	2.92005
