INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 153
INFO:data:Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.36714	0  	0.523342	0.208536	1023  	0.0480258	3.85924	0  	7  	2  	1023  	1.39673
INFO:gp:1  	761   	0.413671	1  	0.548165	0.193234	761   	0.0436737	4.03519	1  	10 	2  	761   	1.52038
INFO:gp:2  	755   	0.440169	2  	0.593302	0.239336	755   	0.0487826	4.1564 	2  	11 	2  	755   	1.57416
INFO:gp:3  	776   	0.459699	3  	0.600091	0.245519	776   	0.0543045	4.24047	3  	11 	2  	776   	1.63325
INFO:gp:4  	782   	0.482046	4  	0.616277	0.260018	782   	0.0625441	4.2825 	4  	12 	2  	782   	1.77837
INFO:gp:5  	782   	0.517479	5  	0.616277	0.253807	782   	0.0593228	3.88465	5  	11 	2  	782   	1.56838
INFO:gp:6  	764   	0.544211	6  	0.616277	0.304758	764   	0.055117 	3.75953	6  	9  	3  	764   	1.53003
INFO:gp:7  	752   	0.55481 	7  	0.627129	0.298433	752   	0.0559358	3.83871	7  	11 	3  	752   	1.57025
INFO:gp:8  	797   	0.56527 	8  	0.632741	0.271528	797   	0.0561704	3.80352	8  	12 	3  	797   	1.44752
INFO:gp:9  	755   	0.57075 	9  	0.632741	0.325142	755   	0.0561678	3.81916	9  	11 	3  	755   	1.42095
INFO:gp:10 	756   	0.573863	10 	0.648731	0.318915	756   	0.0578535	3.7781 	10 	9  	3  	756   	1.45127
INFO:gp:11 	785   	0.573657	11 	0.648732	0.334296	785   	0.0606244	3.77224	11 	12 	3  	785   	1.545  
INFO:gp:12 	761   	0.581178	12 	0.648732	0.305314	761   	0.0585562	3.9697 	12 	12 	3  	761   	1.89305
INFO:gp:13 	794   	0.586411	13 	0.655014	0.33757 	794   	0.0596582	4.18377	13 	15 	3  	794   	2.16238
INFO:gp:14 	817   	0.588668	14 	0.665689	0.321677	817   	0.0648131	4.60802	14 	14 	3  	817   	2.64257
INFO:gp:15 	748   	0.597085	15 	0.665689	0.308749	748   	0.0636481	6.08407	15 	16 	3  	748   	3.21208
INFO:gp:16 	767   	0.602109	16 	0.7235  	0.300096	767   	0.0643821	8.25513	16 	18 	3  	767   	3.16605
INFO:gp:17 	782   	0.603545	17 	0.7235  	0.292374	782   	0.0698489	9.74878	17 	24 	3  	782   	3.29555
INFO:gp:18 	777   	0.61065 	18 	0.7235  	0.325409	777   	0.0739881	10.9091	18 	27 	3  	777   	3.76984
INFO:gp:19 	759   	0.625495	19 	0.72976 	0.317496	759   	0.072295 	11.4917	19 	24 	3  	759   	4.23892
INFO:gp:20 	763   	0.632841	20 	0.729784	0.328014	763   	0.0787867	10.7292	20 	26 	3  	763   	4.31823
INFO:gp:21 	758   	0.647006	21 	0.729784	0.311858	758   	0.0837366	9.15249	21 	28 	3  	758   	3.48859
INFO:gp:22 	775   	0.658591	22 	0.729784	0.357846	775   	0.0813905	8.13685	22 	28 	3  	775   	2.45524
INFO:gp:23 	774   	0.655076	23 	0.730576	0.308361	774   	0.0842758	7.97654	23 	17 	3  	774   	1.87733
INFO:gp:24 	792   	0.654549	24 	0.731456	0.325117	792   	0.0876755	8.19355	24 	18 	3  	792   	2.12688
INFO:gp:25 	751   	0.669567	25 	0.733719	0.3323  	751   	0.0814781	8.0958 	25 	19 	3  	751   	2.13306
INFO:gp:26 	765   	0.662738	26 	0.733719	0.309163	765   	0.0857203	7.95112	26 	18 	3  	765   	2.10189
INFO:gp:27 	782   	0.664062	27 	0.73372 	0.330482	782   	0.0826645	8.27468	27 	19 	3  	782   	2.26922
INFO:gp:28 	764   	0.664598	28 	0.735123	0.315439	764   	0.0852537	8.75367	28 	22 	3  	764   	2.64777
INFO:gp:29 	775   	0.66312 	29 	0.744755	0.359909	775   	0.0868614	9.27566	29 	20 	3  	775   	3.02939
INFO:gp:30 	759   	0.663848	30 	0.744755	0.35578 	759   	0.0916134	10.3607	30 	22 	3  	759   	3.16381
INFO:gp:31 	784   	0.659131	31 	0.746712	0.361331	784   	0.0964468	11.5885	31 	29 	3  	784   	3.23195
INFO:gp:32 	739   	0.666306	32 	0.746712	0.330346	739   	0.0931218	12.0499	32 	24 	3  	739   	3.0278 
INFO:gp:33 	793   	0.669722	33 	0.746716	0.308752	793   	0.0870969	12.0968	33 	24 	3  	793   	3.35333
INFO:gp:34 	770   	0.667987	34 	0.746716	0.318797	770   	0.0902662	12.3148	34 	29 	3  	770   	3.5668 
INFO:gp:35 	795   	0.677499	35 	0.746716	0.371374	795   	0.0830429	12.5083	35 	27 	3  	795   	3.84521
INFO:gp:36 	771   	0.681695	36 	0.751307	0.332444	771   	0.0825217	12.5308	36 	31 	3  	771   	4.04529
INFO:gp:37 	792   	0.684459	37 	0.751307	0.302169	792   	0.0834284	12.9365	37 	36 	3  	792   	4.75262
INFO:gp:38 	780   	0.684187	38 	0.751307	0.320828	780   	0.0853629	15.0606	38 	33 	3  	780   	5.34611
INFO:gp:39 	770   	0.689031	39 	0.751308	0.316409	770   	0.0861213	18.3001	39 	39 	3  	770   	5.0554 
INFO:gp:40 	779   	0.692886	40 	0.751312	0.302489	779   	0.0816549	20.6413	40 	49 	3  	779   	5.52426
INFO:gp:41 	757   	0.692831	41 	0.751312	0.327586	757   	0.0824097	22.1906	41 	47 	3  	757   	5.82809
INFO:gp:42 	778   	0.69678 	42 	0.751312	0.330942	778   	0.0797654	22.8475	42 	43 	3  	778   	5.64667
INFO:gp:43 	778   	0.692245	43 	0.751312	0.306408	778   	0.0884609	24.5142	43 	51 	3  	778   	6.62348
INFO:gp:44 	773   	0.698477	44 	0.751708	0.359385	773   	0.0755177	26.9658	44 	54 	3  	773   	6.13913
INFO:gp:45 	762   	0.698023	45 	0.751708	0.319851	762   	0.0835618	28.2463	45 	51 	3  	762   	4.78266
INFO:gp:46 	779   	0.693884	46 	0.751708	0.328013	779   	0.0844365	28.522 	46 	56 	3  	779   	4.37616
INFO:gp:47 	760   	0.699202	47 	0.751712	0.311666	760   	0.082343 	28.7722	47 	56 	3  	760   	5.31307
INFO:gp:48 	781   	0.69627 	48 	0.751745	0.315319	781   	0.0799715	30.2874	48 	58 	3  	781   	7.08181
INFO:gp:49 	747   	0.696178	49 	0.761988	0.326358	747   	0.0851321	32.6735	49 	61 	3  	747   	8.02726
INFO:gp:50 	772   	0.698458	50 	0.761988	0.317041	772   	0.0831298	34.8944	50 	60 	3  	772   	7.95015
INFO:gp:51 	770   	0.703262	51 	0.762047	0.362502	770   	0.0768168	35.3627	51 	60 	3  	770   	7.1031 
INFO:gp:52 	738   	0.707219	52 	0.766543	0.333903	738   	0.0776888	35.2747	52 	58 	3  	738   	8.52584
INFO:gp:53 	775   	0.703119	53 	0.769372	0.306002	775   	0.0849799	34.9736	53 	62 	3  	775   	10.2908
INFO:gp:54 	766   	0.705554	54 	0.769372	0.340516	766   	0.0837707	36.5679	54 	62 	3  	766   	9.40939
INFO:gp:55 	765   	0.703324	55 	0.769372	0.286326	765   	0.0870706	40.9423	55 	62 	3  	765   	9.77607
INFO:gp:56 	793   	0.708995	56 	0.769372	0.33403 	793   	0.0872044	43.4692	56 	64 	3  	793   	9.58446
INFO:gp:57 	756   	0.708074	57 	0.769378	0.329563	756   	0.0898089	41.7322	57 	64 	3  	756   	9.06513
INFO:gp:58 	759   	0.707398	58 	0.771669	0.348162	759   	0.0890503	39.4291	58 	65 	3  	759   	8.53631
INFO:gp:59 	782   	0.711202	59 	0.771679	0.324126	782   	0.083228 	39.652 	59 	65 	3  	782   	9.25959
INFO:gp:60 	783   	0.706849	60 	0.771679	0.315719	783   	0.0890615	37.9228	60 	57 	3  	783   	10.2373
INFO:gp:61 	773   	0.710894	61 	0.771679	0.343584	773   	0.0837146	35.7038	61 	60 	3  	773   	10.0691
INFO:gp:62 	776   	0.714069	62 	0.771679	0.371646	776   	0.0804325	38.3656	62 	77 	3  	776   	10.8648
INFO:gp:63 	766   	0.714001	63 	0.771679	0.353668	766   	0.0868063	42.9922	63 	90 	3  	766   	10.3167
INFO:gp:64 	791   	0.706563	64 	0.771681	0.345953	791   	0.0910664	45.9247	64 	82 	3  	791   	8.68776
INFO:gp:65 	765   	0.710973	65 	0.771682	0.33308 	765   	0.09036  	49.0772	65 	86 	3  	765   	7.05729
INFO:gp:66 	772   	0.713211	66 	0.771682	0.371975	772   	0.0857043	50.2522	66 	82 	3  	772   	6.57158
INFO:gp:67 	758   	0.712984	67 	0.771683	0.354718	758   	0.0871756	50.5611	67 	73 	3  	758   	6.0891 
INFO:gp:68 	759   	0.712829	68 	0.771683	0.317892	759   	0.0883796	50.9707	68 	80 	3  	759   	6.24876
INFO:gp:69 	780   	0.713773	69 	0.771685	0.321223	780   	0.0880149	50.8534	69 	86 	3  	780   	6.42408
INFO:gp:70 	781   	0.719529	70 	0.771686	0.305835	781   	0.0863201	51.3421	70 	68 	5  	781   	4.6391 
INFO:gp:71 	793   	0.712874	71 	0.771686	0.332874	793   	0.087714 	51.2532	71 	82 	3  	793   	6.16912
INFO:gp:72 	755   	0.712077	72 	0.771686	0.329141	755   	0.0898568	51.5122	72 	77 	3  	755   	5.04424
INFO:gp:73 	759   	0.715127	73 	0.771689	0.333882	759   	0.0894954	51.1632	73 	65 	3  	759   	5.66011
INFO:gp:74 	763   	0.712173	74 	0.771697	0.304221	763   	0.0930117	50.6921	74 	72 	3  	763   	6.36676
INFO:gp:75 	789   	0.710457	75 	0.771697	0.345258	789   	0.0916014	51.827 	75 	66 	4  	789   	4.99681
INFO:gp:76 	741   	0.71435 	76 	0.771707	0.356479	741   	0.0857424	52.4673	76 	73 	3  	741   	6.36005
INFO:gp:77 	770   	0.717832	77 	0.771707	0.401646	770   	0.0814392	53.2131	77 	72 	3  	770   	6.45032
INFO:gp:78 	785   	0.713149	78 	0.771707	0.351674	785   	0.0866991	53.7292	78 	101	3  	785   	7.21625
INFO:gp:79 	760   	0.717842	79 	0.771707	0.395719	760   	0.0824201	52.7214	79 	110	3  	760   	7.62409
INFO:gp:80 	755   	0.709262	80 	0.771709	0.350907	755   	0.0907426	50.5973	80 	69 	3  	755   	6.72633
INFO:gp:81 	750   	0.713683	81 	0.77171 	0.359907	750   	0.0875581	50.1153	81 	67 	3  	750   	6.05791
INFO:gp:82 	781   	0.712358	82 	0.771711	0.326456	781   	0.0881313	50.6569	82 	75 	3  	781   	6.05179
INFO:gp:83 	766   	0.713218	83 	0.771711	0.315564	766   	0.0884352	51.1642	83 	64 	3  	766   	4.70295
INFO:gp:84 	736   	0.717268	84 	0.771712	0.398287	736   	0.0850758	51.4868	84 	77 	3  	736   	4.13666
INFO:gp:85 	764   	0.714646	85 	0.771713	0.323985	764   	0.0878582	51.4506	85 	101	3  	764   	6.25581
INFO:gp:86 	786   	0.71392 	86 	0.771714	0.365571	786   	0.0848397	52.6237	86 	71 	3  	786   	5.70693
INFO:gp:87 	759   	0.712552	87 	0.771714	0.35171 	759   	0.0901053	53.9296	87 	75 	3  	759   	7.20031
INFO:gp:88 	764   	0.717032	88 	0.771715	0.379288	764   	0.0834322	56.0352	88 	89 	3  	764   	8.49373
INFO:gp:89 	788   	0.712504	89 	0.771716	0.311829	788   	0.087996 	58.085 	89 	76 	3  	788   	8.1382 
INFO:gp:90 	763   	0.716879	90 	0.771718	0.331131	763   	0.0873279	57.9101	90 	77 	3  	763   	8.13857
INFO:gp:91 	776   	0.715479	91 	0.771718	0.321257	776   	0.084087 	60.0978	91 	73 	3  	776   	8.0071 
INFO:gp:92 	766   	0.712176	92 	0.77172 	0.321659	766   	0.0853481	61.9599	92 	81 	3  	766   	6.55359
INFO:gp:93 	785   	0.714032	93 	0.77172 	0.31387 	785   	0.0901422	62.085 	93 	127	3  	785   	7.01288
INFO:gp:94 	767   	0.713447	94 	0.77172 	0.321193	767   	0.0899047	62.0841	94 	78 	3  	767   	6.40051
INFO:gp:95 	779   	0.713478	95 	0.771721	0.322195	779   	0.0896549	62.7058	95 	80 	3  	779   	6.85604
INFO:gp:96 	782   	0.715139	96 	0.77173 	0.341025	782   	0.0851788	63.8524	96 	97 	3  	782   	7.05659
INFO:gp:97 	773   	0.71534 	97 	0.77173 	0.337478	773   	0.0865961	65.1632	97 	82 	3  	773   	7.24287
INFO:gp:98 	771   	0.715334	98 	0.77173 	0.345383	771   	0.0869667	66.1603	98 	107	3  	771   	7.53562
INFO:gp:99 	776   	0.714777	99 	0.77173 	0.340022	776   	0.087859 	66.0792	99 	82 	3  	776   	7.18316
INFO:gp:100	750   	0.717495	100	0.771733	0.325529	750   	0.0870217	65.4096	100	94 	3  	750   	7.26387
INFO:gp:101	749   	0.712937	101	0.771733	0.334048	749   	0.0907218	63.6305	101	80 	3  	749   	6.70407
INFO:gp:102	766   	0.714591	102	0.771733	0.326206	766   	0.0885125	62.911 	102	123	3  	766   	5.69602
INFO:gp:103	798   	0.718046	103	0.771733	0.361119	798   	0.0792677	62.4252	103	110	3  	798   	6.41693
INFO:gp:104	770   	0.714849	104	0.771734	0.345324	770   	0.0840129	62.7634	104	81 	4  	770   	5.12739
INFO:gp:105	753   	0.716981	105	0.771734	0.356323	753   	0.0874956	62.2854	105	74 	3  	753   	6.52783
INFO:gp:106	771   	0.714701	106	0.771735	0.33391 	771   	0.0872759	62.2639	106	97 	3  	771   	5.53587
INFO:gp:107	765   	0.715223	107	0.771735	0.290862	765   	0.084921 	62.0694	107	75 	3  	765   	5.67118
INFO:gp:108	768   	0.714328	108	0.771735	0.321714	768   	0.0906591	61.8192	108	77 	3  	768   	7.74101
INFO:gp:109	800   	0.711357	109	0.771736	0.332232	800   	0.0876714	62.6237	109	75 	3  	800   	5.62272
INFO:gp:110	774   	0.715848	110	0.771737	0.352226	774   	0.0881225	62.7155	110	75 	3  	774   	5.48794
INFO:gp:111	803   	0.712977	111	0.771739	0.339667	803   	0.0882183	62.3949	111	75 	3  	803   	5.80512
INFO:gp:112	771   	0.719038	112	0.771739	0.360181	771   	0.0829121	62.306 	112	81 	3  	771   	6.84311
INFO:gp:113	793   	0.715609	113	0.771739	0.32548 	793   	0.089317 	62.6139	113	93 	3  	793   	6.24777
INFO:gp:114	772   	0.714054	114	0.771739	0.324654	772   	0.0858449	62.5494	114	70 	3  	772   	6.49635
INFO:gp:115	748   	0.715089	115	0.77174 	0.363799	748   	0.0860181	62.5797	115	124	3  	748   	7.14528
INFO:gp:116	786   	0.712549	116	0.77174 	0.366904	786   	0.0862872	62.4829	116	83 	3  	786   	6.28   
INFO:gp:117	787   	0.708717	117	0.77174 	0.315271	787   	0.0889914	62.6012	117	82 	3  	787   	6.69334
INFO:gp:118	747   	0.707957	118	0.77174 	0.322667	747   	0.0939161	63.1036	118	84 	3  	747   	6.59208
INFO:gp:119	769   	0.712518	119	0.771741	0.35677 	769   	0.0885924	63.5474	119	78 	3  	769   	6.35627
INFO:gp:120	766   	0.714705	120	0.771741	0.339076	766   	0.0844475	63.9873	120	78 	3  	766   	5.79588
INFO:gp:121	768   	0.711865	121	0.771741	0.333262	768   	0.0881658	63.5337	121	96 	3  	768   	5.47728
INFO:gp:122	778   	0.714108	122	0.771741	0.344611	778   	0.0862861	62.9013	122	110	3  	778   	7.03788
INFO:gp:123	799   	0.717261	123	0.771741	0.357407	799   	0.0826115	62.5288	123	99 	3  	799   	6.65817
INFO:gp:124	783   	0.717991	124	0.771741	0.332638	783   	0.0821476	62.1046	124	84 	3  	783   	6.29588
INFO:gp:125	770   	0.71209 	125	0.771741	0.350648	770   	0.0909284	61.8876	125	72 	3  	770   	4.96499
INFO:gp:126	771   	0.718535	126	0.771741	0.337897	771   	0.0823285	61.3998	126	73 	3  	771   	5.75871
INFO:gp:127	755   	0.714065	127	0.771744	0.361492	755   	0.0868396	61.173 	127	92 	3  	755   	6.15206
INFO:gp:128	758   	0.715839	128	0.771744	0.331625	758   	0.086405 	61.0782	128	73 	3  	758   	6.84543
INFO:gp:129	785   	0.714754	129	0.771744	0.340229	785   	0.0832661	60.9267	129	80 	3  	785   	6.99431
INFO:gp:130	758   	0.715257	130	0.771744	0.321284	758   	0.08653  	60.8925	130	81 	3  	758   	7.208  
INFO:gp:131	783   	0.715953	131	0.771744	0.338666	783   	0.0855005	61.2678	131	76 	3  	783   	6.07791
INFO:gp:132	773   	0.714518	132	0.771746	0.349782	773   	0.0848809	61.1701	132	121	3  	773   	6.18028
INFO:gp:133	787   	0.715715	133	0.771746	0.326305	787   	0.0867554	61.262 	133	99 	3  	787   	5.63086
INFO:gp:134	804   	0.716189	134	0.771746	0.352569	804   	0.0854666	61.0684	134	81 	3  	804   	6.05814
INFO:gp:135	773   	0.714682	135	0.771746	0.337125	773   	0.0877698	61.2776	135	72 	3  	773   	4.93627
INFO:gp:136	788   	0.713137	136	0.771746	0.335101	788   	0.0867204	61.3167	136	78 	5  	788   	4.70222
INFO:gp:137	778   	0.716362	137	0.771746	0.368801	778   	0.0865148	60.9198	137	72 	3  	778   	6.27221
INFO:gp:138	774   	0.718256	138	0.771746	0.346702	774   	0.0843803	60.9804	138	99 	3  	774   	6.24348
INFO:gp:139	753   	0.715053	139	0.771746	0.337726	753   	0.0869905	60.8446	139	99 	3  	753   	6.77081
INFO:gp:140	782   	0.710705	140	0.771746	0.337121	782   	0.0890969	60.955 	140	73 	3  	782   	5.75076
INFO:gp:141	760   	0.71523 	141	0.771746	0.334068	760   	0.0871194	61.0352	141	99 	5  	760   	5.79587
INFO:gp:142	778   	0.714052	142	0.771746	0.334066	778   	0.0898392	60.6334	142	99 	3  	778   	7.37367
