INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.50249	0  	0.742094	0.317421	1023  	0.0566179	3.56403	0  	7  	2  	1023  	1.37338
INFO:gp:1  	791   	0.550204	1  	0.742094	0.313771	791   	0.0560564	3.6608 	1  	11 	2  	791   	1.45754
INFO:gp:2  	783   	0.570993	2  	0.790493	0.275796	783   	0.07012  	3.71065	2  	11 	2  	783   	1.46526
INFO:gp:3  	776   	0.593271	3  	0.847464	0.287412	776   	0.0844818	3.79472	3  	11 	2  	776   	1.53069
INFO:gp:4  	778   	0.626671	4  	0.855504	0.300934	778   	0.0953451	3.85728	4  	10 	1  	778   	1.53715
INFO:gp:5  	775   	0.660834	5  	0.869807	0.305141	775   	0.116241 	3.95601	5  	11 	1  	775   	1.55481
INFO:gp:6  	784   	0.712514	6  	0.869807	0.20884 	784   	0.128449 	3.95015	6  	10 	1  	784   	1.51965
INFO:gp:7  	762   	0.783971	7  	0.896568	0.318156	762   	0.111726 	3.75855	7  	10 	1  	762   	1.51994
INFO:gp:8  	764   	0.813104	8  	0.896568	0.410738	764   	0.0996986	3.39003	8  	11 	1  	764   	1.81591
INFO:gp:9  	766   	0.819852	9  	0.896568	0.298553	766   	0.105316 	2.71065	9  	10 	1  	766   	2.07963
INFO:gp:10 	778   	0.8259  	10 	0.904387	0.419123	778   	0.10407  	3.2913 	10 	14 	1  	778   	2.24353
INFO:gp:11 	798   	0.823122	11 	0.904387	0.424577	798   	0.0985915	4.78495	11 	14 	1  	798   	2.32852
INFO:gp:12 	781   	0.828897	12 	0.904387	0.437715	781   	0.100339 	6.18671	12 	14 	1  	781   	2.53101
INFO:gp:13 	777   	0.832457	13 	0.904405	0.458405	777   	0.106892 	7.61388	13 	16 	1  	777   	2.17838
INFO:gp:14 	781   	0.834236	14 	0.904405	0.415049	781   	0.10253  	8.43793	14 	16 	1  	781   	2.39783
INFO:gp:15 	769   	0.845791	15 	0.904405	0.484048	769   	0.100199 	9.12708	15 	18 	1  	769   	2.46926
INFO:gp:16 	764   	0.849173	16 	0.904405	0.491126	764   	0.0985467	9.49756	16 	23 	1  	764   	2.40148
INFO:gp:17 	779   	0.847871	17 	0.904405	0.483165	779   	0.100292 	9.54545	17 	19 	1  	779   	2.53878
INFO:gp:18 	781   	0.848096	18 	0.904443	0.477271	781   	0.0995615	9.76246	18 	21 	1  	781   	2.73125
INFO:gp:19 	765   	0.847008	19 	0.904443	0.413573	765   	0.102701 	9.63832	19 	17 	2  	765   	2.66658
INFO:gp:20 	774   	0.848879	20 	0.904462	0.35822 	774   	0.0997169	9.83871	20 	21 	1  	774   	2.92967
INFO:gp:21 	775   	0.846578	21 	0.904462	0.455192	775   	0.10372  	10.349 	21 	21 	1  	775   	2.82746
INFO:gp:22 	776   	0.84659 	22 	0.904462	0.425902	776   	0.104288 	11.2004	22 	24 	1  	776   	3.10329
INFO:gp:23 	774   	0.852405	23 	0.911096	0.390373	774   	0.0992582	12.1369	23 	28 	1  	774   	2.82304
