INFO:ga:Generation 1: Best=0.8488, Avg=0.5706
INFO:ga:Generation 2: Best=0.8488, Avg=0.6117
INFO:ga:Generation 3: Best=0.8488, Avg=0.6527
INFO:ga:Generation 4: Best=0.8721, Avg=0.6933
INFO:ga:Generation 5: Best=0.8953, Avg=0.7409
INFO:ga:Generation 6: Best=0.9186, Avg=0.7818
INFO:ga:Generation 7: Best=0.9186, Avg=0.8130
INFO:ga:Generation 8: Best=0.9186, Avg=0.8385
INFO:ga:Generation 9: Best=0.9419, Avg=0.8629
INFO:ga:Generation 10: Best=0.9535, Avg=0.8823
INFO:ga:Generation 11: Best=0.9535, Avg=0.8981
INFO:ga:Generation 12: Best=0.9651, Avg=0.9127
INFO:ga:Generation 13: Best=0.9767, Avg=0.9227
INFO:ga:Generation 14: Best=0.9884, Avg=0.9339
INFO:ga:Generation 15: Best=0.9884, Avg=0.9412
INFO:ga:Generation 16: Best=0.9884, Avg=0.9487
INFO:ga:Generation 17: Best=0.9884, Avg=0.9540
INFO:ga:Generation 18: Best=1.0000, Avg=0.9602
INFO:ga:Generation 19: Best=1.0000, Avg=0.9645
INFO:ga:Generation 20: Best=1.0000, Avg=0.9715
INFO:ga:Generation 21: Best=1.0000, Avg=0.9773
INFO:ga:Generation 22: Best=1.0000, Avg=0.9828
INFO:ga:Generation 23: Best=1.0000, Avg=0.9877
INFO:ga:Generation 24: Best=1.0000, Avg=0.9916
INFO:ga:Generation 25: Best=1.0000, Avg=0.9942
INFO:ga:Generation 26: Best=1.0000, Avg=0.9964
INFO:ga:Generation 27: Best=1.0000, Avg=0.9973
INFO:ga:Generation 28: Best=1.0000, Avg=0.9973
INFO:ga:Generation 29: Best=1.0000, Avg=0.9983
INFO:ga:Generation 30: Best=1.0000, Avg=0.9985
INFO:ga:Generation 31: Best=1.0000, Avg=0.9987
INFO:ga:Generation 32: Best=1.0000, Avg=0.9989
INFO:ga:Generation 33: Best=1.0000, Avg=0.9985
INFO:ga:Generation 34: Best=1.0000, Avg=0.9983
INFO:ga:Generation 35: Best=1.0000, Avg=0.9979
INFO:ga:Generation 36: Best=1.0000, Avg=0.9985
INFO:ga:Generation 37: Best=1.0000, Avg=0.9988
INFO:ga:Generation 38: Best=1.0000, Avg=0.9985
INFO:ga:Generation 39: Best=1.0000, Avg=0.9990
INFO:ga:Generation 40: Best=1.0000, Avg=0.9990
INFO:ga:Generation 41: Best=1.0000, Avg=0.9985
INFO:ga:Generation 42: Best=1.0000, Avg=0.9991
INFO:ga:Generation 43: Best=1.0000, Avg=0.9992
INFO:ga:Generation 44: Best=1.0000, Avg=0.9991
INFO:ga:Generation 45: Best=1.0000, Avg=0.9991
INFO:ga:Generation 46: Best=1.0000, Avg=0.9987
INFO:ga:Generation 47: Best=1.0000, Avg=0.9991
INFO:ga:Generation 48: Best=1.0000, Avg=0.9992
INFO:ga:Generation 49: Best=1.0000, Avg=0.9993
INFO:ga:Generation 50: Best=1.0000, Avg=0.9990
INFO:ga:Generation 51: Best=1.0000, Avg=0.9992
INFO:ga:Generation 52: Best=1.0000, Avg=0.9994
INFO:ga:Generation 53: Best=1.0000, Avg=0.9994
INFO:ga:Generation 54: Best=1.0000, Avg=0.9994
INFO:ga:Generation 55: Best=1.0000, Avg=0.9993
INFO:ga:Generation 56: Best=1.0000, Avg=0.9994
INFO:ga:Generation 57: Best=1.0000, Avg=0.9992
INFO:ga:Generation 58: Best=1.0000, Avg=0.9992
INFO:ga:Generation 59: Best=1.0000, Avg=0.9994
INFO:ga:Generation 60: Best=1.0000, Avg=0.9994
INFO:ga:Generation 61: Best=1.0000, Avg=0.9992
INFO:ga:Generation 62: Best=1.0000, Avg=0.9992
INFO:ga:Generation 63: Best=1.0000, Avg=0.9993
INFO:ga:Generation 64: Best=1.0000, Avg=0.9994
INFO:ga:Generation 65: Best=1.0000, Avg=0.9993
INFO:ga:Generation 66: Best=1.0000, Avg=0.9990
INFO:ga:Generation 67: Best=1.0000, Avg=0.9990
INFO:ga:Generation 68: Best=1.0000, Avg=0.9991
INFO:ga:Generation 69: Best=1.0000, Avg=0.9990
INFO:ga:Generation 70: Best=1.0000, Avg=0.9992
INFO:ga:Generation 71: Best=1.0000, Avg=0.9992
INFO:ga:Generation 72: Best=1.0000, Avg=0.9990
INFO:ga:Generation 73: Best=1.0000, Avg=0.9993
INFO:ga:Generation 74: Best=1.0000, Avg=0.9992
INFO:ga:Generation 75: Best=1.0000, Avg=0.9991
INFO:ga:Generation 76: Best=1.0000, Avg=0.9991
INFO:ga:Generation 77: Best=1.0000, Avg=0.9991
INFO:ga:Generation 78: Best=1.0000, Avg=0.9993
INFO:ga:Generation 79: Best=1.0000, Avg=0.9992
INFO:ga:Generation 80: Best=1.0000, Avg=0.9991
INFO:ga:Generation 81: Best=1.0000, Avg=0.9992
INFO:ga:Generation 82: Best=1.0000, Avg=0.9990
INFO:ga:Generation 83: Best=1.0000, Avg=0.9994
INFO:ga:Generation 84: Best=1.0000, Avg=0.9990
INFO:ga:Generation 85: Best=1.0000, Avg=0.9993
INFO:ga:Generation 86: Best=1.0000, Avg=0.9992
INFO:ga:Generation 87: Best=1.0000, Avg=0.9992
INFO:ga:Generation 88: Best=1.0000, Avg=0.9993
INFO:ga:Generation 89: Best=1.0000, Avg=0.9992
INFO:ga:Generation 90: Best=1.0000, Avg=0.9989
INFO:ga:Generation 91: Best=1.0000, Avg=0.9989
INFO:ga:Generation 92: Best=1.0000, Avg=0.9992
INFO:ga:Generation 93: Best=1.0000, Avg=0.9992
INFO:ga:Generation 94: Best=1.0000, Avg=0.9986
INFO:ga:Generation 95: Best=1.0000, Avg=0.9992
INFO:ga:Generation 96: Best=1.0000, Avg=0.9994
INFO:ga:Generation 97: Best=1.0000, Avg=0.9992
INFO:ga:Generation 98: Best=1.0000, Avg=0.9991
INFO:ga:Generation 99: Best=1.0000, Avg=0.9990
INFO:ga:Generation 100: Best=1.0000, Avg=0.9992
INFO:ga:Best individual's training accuracy: 1.0000 test accuracy: 0.8182
