INFO:ga:Generation 1: Best=0.8140, Avg=0.5744
INFO:ga:Generation 2: Best=0.8488, Avg=0.6195
INFO:ga:Generation 3: Best=0.8488, Avg=0.6654
INFO:ga:Generation 4: Best=0.8837, Avg=0.7166
INFO:ga:Generation 5: Best=0.9070, Avg=0.7544
INFO:ga:Generation 6: Best=0.9186, Avg=0.7872
INFO:ga:Generation 7: Best=0.9419, Avg=0.8148
INFO:ga:Generation 8: Best=0.9535, Avg=0.8433
INFO:ga:Generation 9: Best=0.9535, Avg=0.8658
INFO:ga:Generation 10: Best=0.9767, Avg=0.8853
INFO:ga:Generation 11: Best=0.9767, Avg=0.9014
INFO:ga:Generation 12: Best=0.9884, Avg=0.9164
INFO:ga:Generation 13: Best=0.9884, Avg=0.9283
INFO:ga:Generation 14: Best=0.9884, Avg=0.9369
INFO:ga:Generation 15: Best=0.9884, Avg=0.9471
INFO:ga:Generation 16: Best=0.9884, Avg=0.9580
INFO:ga:Generation 17: Best=1.0000, Avg=0.9636
INFO:ga:Generation 18: Best=1.0000, Avg=0.9679
INFO:ga:Generation 19: Best=1.0000, Avg=0.9712
INFO:ga:Generation 20: Best=1.0000, Avg=0.9769
INFO:ga:Generation 21: Best=1.0000, Avg=0.9793
INFO:ga:Generation 22: Best=1.0000, Avg=0.9826
INFO:ga:Generation 23: Best=1.0000, Avg=0.9863
INFO:ga:Generation 24: Best=1.0000, Avg=0.9886
INFO:ga:Generation 25: Best=1.0000, Avg=0.9931
INFO:ga:Generation 26: Best=1.0000, Avg=0.9957
INFO:ga:Generation 27: Best=1.0000, Avg=0.9972
INFO:ga:Generation 28: Best=1.0000, Avg=0.9987
INFO:ga:Generation 29: Best=1.0000, Avg=0.9990
INFO:ga:Generation 30: Best=1.0000, Avg=0.9992
INFO:ga:Generation 31: Best=1.0000, Avg=0.9996
INFO:ga:Generation 32: Best=1.0000, Avg=0.9997
INFO:ga:Generation 33: Best=1.0000, Avg=0.9997
INFO:ga:Generation 34: Best=1.0000, Avg=0.9996
INFO:ga:Generation 35: Best=1.0000, Avg=0.9996
INFO:ga:Generation 36: Best=1.0000, Avg=0.9994
INFO:ga:Generation 37: Best=1.0000, Avg=0.9996
INFO:ga:Generation 38: Best=1.0000, Avg=0.9995
INFO:ga:Generation 39: Best=1.0000, Avg=0.9997
INFO:ga:Generation 40: Best=1.0000, Avg=0.9994
INFO:ga:Generation 41: Best=1.0000, Avg=0.9994
INFO:ga:Generation 42: Best=1.0000, Avg=0.9996
INFO:ga:Generation 43: Best=1.0000, Avg=0.9995
INFO:ga:Generation 44: Best=1.0000, Avg=0.9997
INFO:ga:Generation 45: Best=1.0000, Avg=0.9996
INFO:ga:Generation 46: Best=1.0000, Avg=0.9997
INFO:ga:Generation 47: Best=1.0000, Avg=0.9996
INFO:ga:Generation 48: Best=1.0000, Avg=0.9995
INFO:ga:Generation 49: Best=1.0000, Avg=0.9998
INFO:ga:Generation 50: Best=1.0000, Avg=0.9996
INFO:ga:Generation 51: Best=1.0000, Avg=0.9994
INFO:ga:Generation 52: Best=1.0000, Avg=0.9995
INFO:ga:Generation 53: Best=1.0000, Avg=0.9997
INFO:ga:Generation 54: Best=1.0000, Avg=0.9996
INFO:ga:Generation 55: Best=1.0000, Avg=0.9995
INFO:ga:Generation 56: Best=1.0000, Avg=0.9997
INFO:ga:Generation 57: Best=1.0000, Avg=0.9998
INFO:ga:Generation 58: Best=1.0000, Avg=0.9997
INFO:ga:Generation 59: Best=1.0000, Avg=0.9996
INFO:ga:Generation 60: Best=1.0000, Avg=0.9997
INFO:ga:Generation 61: Best=1.0000, Avg=0.9994
INFO:ga:Generation 62: Best=1.0000, Avg=0.9997
INFO:ga:Generation 63: Best=1.0000, Avg=0.9996
INFO:ga:Generation 64: Best=1.0000, Avg=0.9998
INFO:ga:Generation 65: Best=1.0000, Avg=0.9996
INFO:ga:Generation 66: Best=1.0000, Avg=0.9997
INFO:ga:Generation 67: Best=1.0000, Avg=0.9996
INFO:ga:Generation 68: Best=1.0000, Avg=0.9997
INFO:ga:Generation 69: Best=1.0000, Avg=0.9996
INFO:ga:Generation 70: Best=1.0000, Avg=0.9996
INFO:ga:Generation 71: Best=1.0000, Avg=0.9998
INFO:ga:Generation 72: Best=1.0000, Avg=0.9996
INFO:ga:Generation 73: Best=1.0000, Avg=0.9998
INFO:ga:Generation 74: Best=1.0000, Avg=0.9995
INFO:ga:Generation 75: Best=1.0000, Avg=0.9997
INFO:ga:Generation 76: Best=1.0000, Avg=0.9997
INFO:ga:Generation 77: Best=1.0000, Avg=0.9996
INFO:ga:Generation 78: Best=1.0000, Avg=0.9995
INFO:ga:Generation 79: Best=1.0000, Avg=0.9997
INFO:ga:Generation 80: Best=1.0000, Avg=0.9998
INFO:ga:Generation 81: Best=1.0000, Avg=0.9996
INFO:ga:Generation 82: Best=1.0000, Avg=0.9996
INFO:ga:Generation 83: Best=1.0000, Avg=0.9996
INFO:ga:Generation 84: Best=1.0000, Avg=0.9997
INFO:ga:Generation 85: Best=1.0000, Avg=0.9996
INFO:ga:Generation 86: Best=1.0000, Avg=0.9995
INFO:ga:Generation 87: Best=1.0000, Avg=0.9995
INFO:ga:Generation 88: Best=1.0000, Avg=0.9997
INFO:ga:Generation 89: Best=1.0000, Avg=0.9996
INFO:ga:Generation 90: Best=1.0000, Avg=0.9996
INFO:ga:Generation 91: Best=1.0000, Avg=0.9997
INFO:ga:Generation 92: Best=1.0000, Avg=0.9996
INFO:ga:Generation 93: Best=1.0000, Avg=0.9998
INFO:ga:Generation 94: Best=1.0000, Avg=0.9999
INFO:ga:Generation 95: Best=1.0000, Avg=0.9998
INFO:ga:Generation 96: Best=1.0000, Avg=0.9998
INFO:ga:Generation 97: Best=1.0000, Avg=0.9997
INFO:ga:Generation 98: Best=1.0000, Avg=0.9997
INFO:ga:Generation 99: Best=1.0000, Avg=0.9997
INFO:ga:Generation 100: Best=1.0000, Avg=0.9997
INFO:ga:Best individual's training accuracy: 1.0000 test accuracy: 0.9091
