INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 234
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.501354	0  	0.638732	0.374591	1023  	0.0365178	3.48876	0  	7  	2  	1023  	1.34536
INFO:gp:1  	768   	0.531538	1  	0.641784	0.360788	768   	0.0375027	3.5044 	1  	8  	2  	768   	1.35697
INFO:gp:2  	818   	0.547176	2  	0.659221	0.369662	818   	0.0447198	3.54643	2  	9  	2  	818   	1.43737
INFO:gp:3  	734   	0.566403	3  	0.675757	0.347418	734   	0.0519512	3.72336	3  	13 	2  	734   	1.56474
INFO:gp:4  	772   	0.578804	4  	0.686183	0.373694	772   	0.0619912	4.14956	4  	14 	2  	772   	1.89977
INFO:gp:5  	764   	0.59324 	5  	0.707069	0.373198	764   	0.064013 	4.52688	5  	11 	2  	764   	1.91077
INFO:gp:6  	773   	0.604214	6  	0.735863	0.393896	773   	0.0667755	5.16031	6  	13 	2  	773   	1.96243
INFO:gp:7  	769   	0.619962	7  	0.735863	0.405081	769   	0.0648486	5.66178	7  	14 	2  	769   	2.0095 
INFO:gp:8  	746   	0.629726	8  	0.737463	0.371234	746   	0.0693857	6.07625	8  	14 	2  	746   	2.02961
INFO:gp:9  	788   	0.642451	9  	0.742947	0.459709	788   	0.0711536	6.49658	9  	15 	2  	788   	2.12091
INFO:gp:10 	789   	0.659845	10 	0.759709	0.441544	789   	0.0723225	7.49951	10 	15 	1  	789   	2.04919
INFO:gp:11 	785   	0.673227	11 	0.759709	0.470449	785   	0.0712044	8.1652 	11 	15 	3  	785   	1.85629
INFO:gp:12 	751   	0.679149	12 	0.768947	0.453523	751   	0.0717973	8.48387	12 	19 	3  	751   	1.88514
INFO:gp:13 	779   	0.677794	13 	0.768947	0.416863	779   	0.0706777	8.67351	13 	16 	3  	779   	2.01193
INFO:gp:14 	789   	0.678261	14 	0.776561	0.456581	789   	0.0732716	8.86706	14 	19 	3  	789   	2.21431
INFO:gp:15 	762   	0.682747	15 	0.78284 	0.471942	762   	0.0727251	8.9609 	15 	19 	3  	762   	2.27108
INFO:gp:16 	800   	0.685691	16 	0.78284 	0.460381	800   	0.0732114	8.86119	16 	22 	3  	800   	2.28007
INFO:gp:17 	797   	0.692361	17 	0.78284 	0.472555	797   	0.0726845	8.42815	17 	21 	3  	797   	2.31795
INFO:gp:18 	772   	0.698572	18 	0.78284 	0.482755	772   	0.0774111	8.08113	18 	16 	3  	772   	2.00884
INFO:gp:19 	763   	0.707029	19 	0.786659	0.479061	763   	0.0787078	7.95601	19 	18 	3  	763   	1.82762
INFO:gp:20 	765   	0.706272	20 	0.786664	0.426533	765   	0.0845963	7.88661	20 	18 	3  	765   	1.80551
INFO:gp:21 	778   	0.713285	21 	0.788593	0.472622	778   	0.0817883	7.86119	21 	15 	4  	778   	1.69419
INFO:gp:22 	753   	0.711058	22 	0.7886  	0.467054	753   	0.0864719	8.13294	22 	16 	3  	753   	1.81606
INFO:gp:23 	782   	0.708701	23 	0.789932	0.479017	782   	0.0895733	8.46041	23 	17 	3  	782   	1.82899
INFO:gp:24 	777   	0.707104	24 	0.789932	0.428197	777   	0.0926846	8.74291	24 	17 	3  	777   	1.99594
INFO:gp:25 	753   	0.712733	25 	0.798727	0.48406 	753   	0.090496 	8.9697 	25 	17 	5  	753   	1.86023
INFO:gp:26 	762   	0.716336	26 	0.798727	0.391608	762   	0.0902352	9.22972	26 	17 	3  	762   	1.82119
INFO:gp:27 	762   	0.715845	27 	0.798727	0.482772	762   	0.0931808	9.4565 	27 	18 	5  	762   	1.89917
INFO:gp:28 	782   	0.71672 	28 	0.798727	0.491281	782   	0.0899362	9.60704	28 	19 	3  	782   	1.965  
INFO:gp:29 	769   	0.71325 	29 	0.798727	0.456141	769   	0.0966533	9.97849	29 	22 	3  	769   	2.46966
INFO:gp:30 	783   	0.715259	30 	0.798935	0.459228	783   	0.0984356	10.8065	30 	22 	3  	783   	2.76228
INFO:gp:31 	743   	0.712622	31 	0.798935	0.48196 	743   	0.0990743	10.9824	31 	22 	7  	743   	2.53686
INFO:gp:32 	769   	0.713862	32 	0.798935	0.474061	769   	0.0958092	11.0254	32 	22 	7  	769   	2.67959
INFO:gp:33 	798   	0.715273	33 	0.798935	0.328699	798   	0.0973818	10.8524	33 	25 	5  	798   	2.75111
INFO:gp:34 	768   	0.713269	34 	0.798935	0.489073	768   	0.0982597	10.4233	34 	22 	5  	768   	2.40025
INFO:gp:35 	776   	0.717872	35 	0.798935	0.395773	776   	0.0969386	10.3206	35 	22 	5  	776   	2.15046
INFO:gp:36 	789   	0.712531	36 	0.79894 	0.477593	789   	0.0999927	10.5337	36 	22 	7  	789   	2.21224
INFO:gp:37 	767   	0.722016	37 	0.804788	0.441847	767   	0.0971938	10.9335	37 	22 	7  	767   	2.40183
INFO:gp:38 	770   	0.718906	38 	0.804788	0.485934	770   	0.0974452	11.4438	38 	24 	7  	770   	2.57374
INFO:gp:39 	783   	0.713061	39 	0.804788	0.417071	783   	0.0991622	11.9413	39 	24 	5  	783   	2.82298
INFO:gp:40 	748   	0.722795	40 	0.804788	0.481124	748   	0.0958617	12.3744	40 	24 	5  	748   	2.8363 
INFO:gp:41 	775   	0.720324	41 	0.808465	0.470472	775   	0.0974363	12.5904	41 	29 	5  	775   	2.99125
